 17859-sa        Tebo-ICT,  license #WeiChuang(CD)

 Test Fixture Nails     197/197  Selected Drills           21-March-2018 15:57
                        197 Nails,  2368 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$62       4.1460    3.3100   3  A1   (B)  #510  BPM_CPU_N3       T PIN TP303.1
$63       3.9324    3.3400   1  A1   (B)  #503  SKTOCC_          T PIN TP619.1
$64       3.6481    1.7931   1  A1   (B)  #1763 HDA_SDOUT_CODEC  T PIN TB_TP57.1
$65       3.7027    1.6918   1  A1   (B)  #1491 HDA_BITCLK_CODEC T PIN TB_TP61.1
$66       1.3980    1.5480   1  A1   (B)  #1207 USB1_USB20_CON_N T PIN TB_TP7.1
$67       1.3080    1.5330   1  A1   (B)  #1211 USB1_USB20_CON_P T PIN TB_TP6.1
$68       1.9310    2.2660   1  A1   (B)  #14   VR_RDY           T PIN TP4601.1
$69       2.1920    3.2870   1  A1   (B)  #539  EDP_AUX_CPU_N    T PIN TB_TP65.1
$70       1.0960    3.2730   2  A1   (B)  #737  TOP_MUX_P        T PIN TB_TP24.1
$71       1.0420    3.3230   2  A1   (B)  #736  TOP_MUX_N        T PIN TB_TP26.1
$75       8.2921    2.9150   1  A1   (T)  #1071 FB_VREF          T PIN TP7801.1
$76       8.2680    2.2620   3  A1   (T)  #666  BT_USB20_N       T PIN TB_TP76.1
$77       8.2830    2.2010   2  A1   (T)  #409  WLAN_CLKREQ_CPU_N T PIN AFTP6105.1
$78       8.2540    2.0380   2  A1   (T)  #1693 JIO3_PCIE_WAKE_  T PIN AFTP6608.1
$79       8.3280    2.0480   2  A1   (T)  #752  WIFI_RF_EN_R     T PIN AFTP6106.1
$80       8.4080    2.0540   1  A1   (T)  #753  BLUETOOTH_EN_R   T PIN AFTP6107.1
$81       8.5900    2.1600   1  A1   (T)  #933  PLT_RST_         T PIN AFTP6108.1
$82       8.6490    2.2330   1  A1   (T)  #645  BT_USB20_P       T PIN TB_TP75.1
$83       8.8280    2.2780   2  A1   (T)  #925  BT_USB20_CON_N   T PIN AFTP6109.1
$84       8.8940    2.3140   2  A1   (T)  #924  BT_USB20_CON_P   T PIN AFTP6110.1
$85       9.0500    2.4080   1  A1   (T)  #1389 FAN1_TACH        T PIN AFTP2601.1
$86       9.0500    2.4950   1  A1   (T)  #1769 5V_FAN_VCC       T PIN AFTP2603.1
$87       9.1290    2.3890   2  A1   (T)  #1384 FAN1_PWM         T PIN AFTP2602.1
$88       8.9780    1.9490   1  A1   (T)  #920  3D3V_WLAN        T PIN AFTP6101.1
$89       8.3745    1.3360   1  A1   (T)  #1251 SPI_CLK_ROM_TPM  T PIN TB_TP46.1
$90       8.1810    1.2870   1  A1   (T)  #1728 SPI_CLK_ROM      T PIN TB_TP5.1
$91       7.9360    1.2130   1  A1   (T)  #1349 SPI_SI_ROM_R     T PIN TB_TP43.1
$92       8.1590    1.1328   1  A1   (T)  #1727 SPI_SO_ROM       T PIN TB_TP2.1
$93       8.3750    1.1120   1  A1   (T)  #1248 SPI_SO_ROM_TPM   T PIN TB_TP41.1
$94       8.6600    1.1700   1  A1   (T)  #1243 TPM_GPIO1        T PIN TP9102.1
$95       8.7070    1.2770   3  A1   (T)  #1239 TPM_GPIO3        T PIN TP9101.1
$96       8.7070    1.3260   3  A1   (T)  #1238 TPM_PP           T PIN TP9104.1
$97       9.0130    1.3170   1  A1   (T)  #1447 KBC_PWRBTN_      T PIN TP9954.1
$98       9.1070    0.6950   1  A1   (T)  #100  3D3V_SSD         T PIN AFTP6304.1
$99       9.1720    0.2410   1  A1   (T)  #1457 SSD_DEVSLP_R     T PIN AFTP6301.1
$100      8.7600    0.0500   1  A1   (T)  #695  M2_SSD_PEDET     T PIN AFTP6303.1
$101      8.6640    0.2950   1  A1   (T)  #1190 +RTC_VCC         T PIN AFTP2502.1
$102      7.8790    0.4720   1  A1   (T)  #1800 5V_HDD_S0        T PIN AFTP6001.1
$103      7.6100    0.4060   1  A1   (T)  #1442 TPCLK_C          T PIN AFTP6530.1
$104      7.5900    0.4820   2  A1   (T)  #1443 TPDATA_C         T PIN AFTP6524.1
$105      7.5280    0.4300   2  A1   (T)  #749  TP_LOCK_         T PIN AFTP6526.1
$106      7.5010    0.5010   2  A1   (T)  #1395 TP_WAKE_KBC_     T PIN AFTP6525.1
$107      7.4520    0.4420   2  A1   (T)  #1445 I2C1_SDA_R       T PIN AFTP6527.1
$108      7.3990    0.3850   1  A1   (T)  #1444 I2C1_SCL_R       T PIN AFTP6528.1
$109      7.6340    0.1020   1  A1   (T)  #1228 3D3V_TP_VDD      T PIN AFTP6529.1
$110      6.9940    0.3030   1  A1   (T)  #1446 PWR_CHG_ASGATE   T PIN TP4401.1
$111      6.6710    0.1730   1  A1   (T)  #1041 PWR_CHG_OTGPG    T PIN TP4411.1
$112      7.9400    2.8700   1  A1   (T)  #1084 P2800_VGA_DXN    T PIN TP7903.1
$113      7.9291    3.0100   1  A1   (T)  #1081 P2800_VGA_DXP    T PIN TP7904.1
$114      7.0850    3.0300   1  A1   (T)  #1136 N12P_JTAG_TMS    T PIN TP7902.1
$115      6.8440    3.3090   1  A1   (T)  #1105 GFX_PCIE_TX_N3   T PIN TB_TP62.1
$116      5.6950    3.0280   1  A1   (T)  #682  GPP_E23          T PIN TP402.1
$117      5.4550    2.9890   1  A1   (T)  #655  GPP_E3_CPU_GP0   T PIN TP304.1
$118      5.4430    2.8990   3  A1   (T)  #629  UART1_RTS_       T PIN TP2001.1
$119      5.4570    2.8470   3  A1   (T)  #471  UART1_CTS_       T PIN TP2002.1
$120      5.4610    2.7250   1  A1   (T)  #475  CPU_D6_TP        T PIN TP1806.1
$121      5.4860    2.6060   1  A1   (T)  #461  CPU_D4_TP        T PIN TP1804.1
$122      5.2610    2.5290   1  A1   (T)  #362  PM_SLP_S4_       T PIN TP9950.1
$123      5.1540    2.4810   1  A1   (T)  #358  PM_SLP_S5_       T PIN TP9949.1
$124      5.0950    2.4440   3  A1   (T)  #328  HDA_RST_N_CPU    T PIN TP1903.1
$125      5.0257    1.8377   1  A1   (T)  #331  HDA_BITCLK_CPU   T PIN TB_TP59.1
$126      5.4450    1.9540   3  A1   (T)  #398  PCH_ESPI_IO0     T PIN TB_TP13.1
$127      5.4250    1.9050   3  A1   (T)  #393  PCH_ESPI_IO1     T PIN TB_TP12.1
$128      5.4200    1.8540   3  A1   (T)  #368  PCH_ESPI_IO3     T PIN TB_TP10.1
$129      5.4690    1.8560   3  A1   (T)  #392  PCH_ESPI_IO2     T PIN TB_TP11.1
$130      5.5490    1.6010   1  A1   (T)  #361  RTC_RST_         T PIN TP9953.1
$131      5.2640    0.4280   1  A1   (T)  #1640 BT+              T PIN AFTP4313.1
$132      5.1100    0.4310   2  A1   (T)  #1474 PBAT_SMBCLK1     T PIN AFTP4311.1
$133      5.0340    0.4290   2  A1   (T)  #1473 PBAT_SMBDAT1     T PIN AFTP4310.1
$134      4.9590    0.4290   2  A1   (T)  #1472 PBAT_PRES1_      T PIN AFTP4309.1
$135      4.8835    0.4300   2  A1   (T)  #1731 SYS_PRES1_       T PIN AFTP4315.1
$136      4.8260    0.2760   1  A1   (T)  #1    GND              T PIN AFTP4308.1
$137      4.5600    0.3600   1  A1   (T)  #390  KB_LED_BL_DET    T PIN AFTP6606.1
$138      4.4790    0.3680   2  A1   (T)  #1222 KB_BL_CTRL_      T PIN AFTP6607.1
$139      4.4210    0.4210   1  A1   (T)  #1725 +5V_KB_BL        T PIN AFTP6605.1
$140      3.8280    0.1460   2  A1   (T)  #1415 KSO11            T PIN AFTP6506.1
$141      3.7520    0.1450   2  A1   (T)  #1419 KSO9             T PIN AFTP6516.1
$142      3.6770    0.1430   2  A1   (T)  #1405 KSO15            T PIN AFTP6515.1
$143      3.6000    0.1460   2  A1   (T)  #1440 KSO0             T PIN AFTP6520.1
$144      3.5210    0.1550   2  A1   (T)  #1385 KSO8             T PIN AFTP6505.1
$145      3.4450    0.1520   2  A1   (T)  #1381 KSO7             T PIN AFTP6534.1
$146      3.3660    0.1550   2  A1   (T)  #1391 KSO5             T PIN AFTP6536.1
$147      3.2890    0.1550   2  A1   (T)  #1436 KSI3             T PIN AFTP6502.1
$148      3.2130    0.1570   2  A1   (T)  #1374 KSI1             T PIN AFTP6540.1
$149      3.1360    0.1560   2  A1   (T)  #1371 KSI4             T PIN AFTP6521.1
$150      3.0650    0.1780   2  A1   (T)  #1367 KSI7             T PIN AFTP6523.1
$151      2.9740    0.2520   1  A1   (T)  #637  KB_DET_          T PIN AFTP6519.1
$152      3.0490    0.2530   3  A1   (T)  #1368 KSI6             T PIN AFTP6511.1
$153      3.1160    0.2340   2  A1   (T)  #1437 KSI2             T PIN AFTP6533.1
$154      3.1920    0.2320   2  A1   (T)  #1370 KSI5             T PIN AFTP6513.1
$155      3.2670    0.2300   2  A1   (T)  #1375 KSI0             T PIN AFTP6507.1
$156      3.3420    0.2280   2  A1   (T)  #1392 KSO4             T PIN AFTP6522.1
$157      3.4180    0.2290   2  A1   (T)  #1390 KSO6             T PIN AFTP6512.1
$158      3.4930    0.2300   2  A1   (T)  #1429 KSO3             T PIN AFTP6518.1
$159      3.5670    0.2400   2  A1   (T)  #1414 KSO12            T PIN AFTP6538.1
$160      3.6420    0.2480   2  A1   (T)  #1400 KSO16            T PIN AFTP6508.1
$161      3.7260    0.2440   2  A1   (T)  #1413 KSO13            T PIN AFTP6535.1
$162      3.8010    0.2370   2  A1   (T)  #1770 CAP_LED          T PIN AFTP6532.1
$163      3.7670    0.3220   1  A1   (T)  #1417 KSO10            T PIN AFTP6503.1
$164      3.6720    0.3270   2  A1   (T)  #1412 KSO14            T PIN AFTP6539.1
$165      3.5950    0.3250   2  A1   (T)  #1430 KSO2             T PIN AFTP6510.1
$166      3.5020    0.3090   1  A1   (T)  #1431 KSO1             T PIN AFTP6517.1
$167      3.3361    1.3547   1  A1   (T)  #397  ESPI_CS_         T PIN TB_TP64.1
$168      3.4278    1.4015   3  A1   (T)  #952  ESPI_IO1         T PIN TB_TP19.1
$169      3.4054    1.4466   3  A1   (T)  #953  ESPI_IO3         T PIN TB_TP17.1
$170      3.3467    1.5258   1  A1   (T)  #955  ESPI_CLK         T PIN TB_TP21.1
$171      3.2117    1.4487   1  A1   (T)  #950  ESPI_IO0         T PIN TB_TP20.1
$172      3.0745    1.3822   1  A1   (T)  #396  ESPI_RESET_      T PIN TB_TP63.1
$173      3.1266    1.4713   1  A1   (T)  #951  ESPI_IO2         T PIN TB_TP18.1
$174      3.2674    1.6644   1  A1   (T)  #1697 HDA_SYNC_CODEC   T PIN TB_TP54.1
$175      3.5832    3.9739   3  A1   (T)  #1307 65982D_LSTX_P2R  T PIN TP7207.1
$176      3.5630    4.0187   3  A1   (T)  #1315 65982D_LSTX_R2P  T PIN TP7206.1
$177      3.5240    4.0680   3  A1   (T)  #1316 TOP_MUX_N_L      T PIN TB_TP25.1
$178      3.5000    4.1120   3  A1   (T)  #1309 BOT_MUX_P_L      T PIN TB_TP77.1
$179      3.3920    4.1090   3  A1   (T)  #1317 BOT_MUX_N_L      T PIN TB_TP78.1
$180      3.4350    4.0940   4  A1   (T)  #1318 65982D_SBU2      T PIN TP7202.1
$181      3.4720    4.0490   3  A1   (T)  #1310 65982D_SBU1      T PIN TP7201.1
$182      3.3790    3.8110   1  A1   (T)  #1294 65982D_RESET_N   T PIN TP7205.1
$183      1.7980    3.5910   1  A1   (T)  #1202 +DC_IN_C         T PIN AFTP4303.1
$184      1.6190    3.6520   1  A1   (T)  #1773 PS_ID_R          T PIN AFTP4304.1
$185      1.5300    3.5690   1  A1   (T)  #1203 JGND             T PIN AFTP4302.1
$186      1.6970    2.5310   1  A1   (T)  #63   DP2_DDI_TX_RE_C_N3 T PIN TB_TP66.1
