 17859-sa        Tebo-ICT,  license #WeiChuang(CD)
PR4502        2.4880    0.1460  270.0  A1   (T)  '0R0603-PAD', '0R0603-PAD'
PR4503        8.1820    1.9440   90.0  A1   (T)  'R402H16', 'R402H16'
PR4504        2.6600   -0.0200    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4505        8.4050    1.8500  270.0  A1   (T)  'R402H16', 'R402H16'
PR4506        8.2060    1.8942  180.0  A1   (T)  'R402H16', 'R402H16'
PR4507        2.6000   -0.0300    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4508        8.3760    1.9170  270.0  A1   (T)  'R402H16', 'R402H16'
PR4509        8.3990    1.8860  270.0  A1   (T)  'R402H16', 'R402H16'
PR4510        2.7700    0.0120  180.0  A1   (T)  'R402H16', 'R402H16'
PR4511        2.7980   -0.0400  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4512        2.7200   -0.0200  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4513        2.6900   -0.0200  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4514        8.2840    1.9460   90.0  A1   (T)  'R402H16', 'R402H16'
PR4515        8.2310    1.9620    0.0  A1   (T)  'R402H16', 'R402H16'
PR4516        8.2840    1.9770  270.0  A1   (T)  'R402H16', 'R402H16'
PR4530        8.1820    1.9790   90.0  A1   (T)  'R402H16', 'R402H16'
PR4551        2.6300   -0.0300    0.0  A1   (T)  'R402H16', 'R402H16'
PR4601        2.4370    2.5076   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4602        2.4370    2.4770   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4603        2.0230    2.3240    0.0  A1   (T)  'R402H16', 'R402H16'
PR4604        2.1130    2.3240    0.0  A1   (T)  'R402H16', 'R402H16'
PR4605        2.0830    2.3240    0.0  A1   (T)  'R402H16', 'R402H16'
PR4606        2.0530    2.3240    0.0  A1   (T)  'R402H16', 'R402H16'
PR4607        2.0110    2.3010    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4608        1.9490    2.3510   90.0  A1   (T)  'R402H16', 'R402H16'
PR4609        1.9744    2.3026    0.0  A1   (B)  'R402H15_B', 'R402H15_B'
PR4610        2.1311    2.3059    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4611        4.3480    4.0510  270.0  A1   (B)  'NTC-402H22-U_B', 'NTC-402H22-U_B'
PR4612        2.2442    2.2880    0.0  A1   (B)  '0R0402-PAD_B', '0R0402-PAD_B'
PR4613        2.3510    2.4020   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4614        2.0280    2.4060  180.0  A1   (T)  'R402H15', 'R402H15'
PR4615        2.3460    2.3650  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4616        1.9060    2.3170  270.0  A1   (B)  'R402H15_B', 'R402H15_B'
PR4617        2.4550    2.5930    0.0  A1   (T)  'NTC-402H22-U', 'NTC-402H22-U'
PR4618        2.2990    2.4450  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
