 17859-sa        Tebo-ICT,  license #WeiChuang(CD)
R4010         8.8440    1.6510    0.0  A1   (T)  'R402H16', 'R402H16'
R4011         2.2445    2.1646   90.0  A1   (T)  'R402H16', 'R402H16'
R4017         6.8600    2.6350  180.0  A1   (B)  'R402H15_B', 'R402H15_B'
R4018         6.8720    2.7640   90.0  A1   (B)  'R402H15_B', 'R402H15_B'
R4019         8.9550    1.5300    0.0  A1   (T)  'R402H16', 'R402H16'
R4020         6.8050    2.7840   90.0  A1   (B)  'R402H15_B', 'R402H15_B'
R4024         4.8250    3.8620   90.0  A1   (B)  'R402H15_B', 'R402H15_B'
R4029         8.5697    1.6506  180.0  A1   (T)  'R402H16', 'R402H16'
R4030         8.5387    1.6506  180.0  A1   (T)  'R402H16', 'R402H16'
R4031         8.5080    1.6510  180.0  A1   (T)  'R402H16', 'R402H16'
R4032         8.6007    1.6506  180.0  A1   (T)  'R402H16', 'R402H16'
R4033         8.4750    1.6900  180.0  A1   (T)  'R402H16', 'R402H16'
R4034         7.0550    2.7490  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
R4036         4.7730    3.9430  180.0  A1   (B)  'R603H18', 'R603H18'
R4037         7.0230    2.6810  180.0  A1   (B)  'R402H15_B', 'R402H15_B'
R4038         6.9110    2.1580   90.0  A1   (B)  'R603H18', 'R603H18'
R4039         7.0390    2.6310   90.0  A1   (B)  'R402H15_B', 'R402H15_B'
R4040         6.9860    2.5270  270.0  A1   (B)  'R402H15_B', 'R402H15_B'
R4043         6.9270    2.5580    0.0  A1   (B)  'R603H18', 'R603H18'
R4046         6.7880    2.2100  180.0  A1   (B)  'R1206H26', 'R1206H26'
R4048         8.8970    1.6730   90.0  A1   (T)  'R402H16', 'R402H16'
R4301         4.8340    0.3970  225.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R4302         1.4490    3.7460  180.0  A1   (T)  'R402H16', 'R402H16'
R4303         1.2090    3.7740  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R4304         2.4790    1.9170    0.0  A1   (T)  'R402H16', 'R402H16'
R4305         2.4770    1.8500  180.0  A1   (T)  'R402H16', 'R402H16'
R4306         1.4450    3.6790  180.0  A1   (T)  'R402H16', 'R402H16'
R4307         1.6370    3.3860    0.0  A1   (T)  'R603H22', 'R603H22'
R4308         1.7030    3.2470   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
R4309         1.4750    3.6790  180.0  A1   (T)  'R402H16', 'R402H16'
R4311         2.0610    3.1590    0.0  A1   (T)  'R402H16', 'R402H16'
R4315         2.1480    3.1740    0.0  A1   (T)  'R402H16', 'R402H16'
R4316         2.0340    3.2860  180.0  A1   (T)  'R402H16', 'R402H16'
R4317         1.6140    3.7380  180.0  A1   (T)  '0R0603-PAD', '0R0603-PAD'
R4318         2.1520    2.9490  180.0  A1   (T)  'R402H16', 'R402H16'
R4333         2.1390    3.0190   90.0  A1   (T)  'R402H16', 'R402H16'
R4368         2.1390    3.0490  270.0  A1   (T)  'R402H16', 'R402H16'
R4369         1.7920    2.9270  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R4370         2.1210    2.9490  180.0  A1   (T)  'R402H16', 'R402H16'
R4376         1.9754    3.1591  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
R4377         1.9440    3.1320  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
R4378         2.0070    3.0460   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
R4379         1.5510    3.0220  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R5502         2.5202    3.4008    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R5503         2.4885    3.4006    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R5506         2.1200    2.9450    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R5518         2.1150    3.2590    0.0  A1   (B)  'R402H14_B', 'R402H14_B'
R5523         2.0600    3.2820  180.0  A1   (B)  'R603H22_B', 'R603H22_B'
R5524         2.3100    3.2160  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
R5528         2.1470    3.4190  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R5529         2.2140    3.4190   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
R5530         2.2780    3.2160    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R5531         2.5670    3.4230    0.0  A1   (T)  'R402H16', 'R402H16'
R5533         2.6010    3.3790  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R5534         2.6010    3.4090  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R5537         2.6830    3.2310    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R5538         2.5920    3.3240    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R5547         2.9080    3.3340  270.0  A1   (T)  'R402H16', 'R402H16'
R5548         2.9250    3.3850    0.0  A1   (T)  'R402H16', 'R402H16'
R5551         2.8000    3.2940   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
R5553         2.8190    3.3240   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
R5554         2.7140    3.2740    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R5555         2.7450    3.2740    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R5556         2.4788    3.4034  180.0  A1   (T)  'R402H16', 'R402H16'
R5557         2.5248    3.4034  180.0  A1   (T)  'R402H16', 'R402H16'
R5558         3.0050    3.5750    0.0  A1   (B)  'R603H22_B', 'R603H22_B'
R5559         3.0870    3.6330  270.0  A1   (B)  'R805H24_B', 'R805H24_B'
R5560         2.8740    3.4290  180.0  A1   (T)  'R805H24', 'R805H24'
R5707         1.4110    2.0420    0.0  A1   (T)  'R402H16', 'R402H16'
R5709         1.2650    2.6000    0.0  A1   (T)  'R402H16', 'R402H16'
R5710         1.0950    2.7250  270.0  A1   (T)  'R402H16', 'R402H16'
R5711         1.0950    2.7550   90.0  A1   (T)  'R402H16', 'R402H16'
R5712         1.2350    2.6000  180.0  A1   (T)  'R402H16', 'R402H16'
R5713         1.2270    2.3410  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R5714         1.2270    2.3110  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R5715         1.2270    2.2070  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R5716         1.2270    2.1770  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R5717         1.2270    2.1350  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R5720         1.2270    2.1050  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R5721         1.2270    2.2730  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R5722         1.2270    2.2430  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R6001         7.8660    0.3590   90.0  A1   (T)  'R805H24', 'R805H24'
R6002         8.0310    0.3570    0.0  A1   (T)  'R402H16', 'R402H16'
R6004         8.2560    0.6570   90.0  A1   (T)  'R402H16', 'R402H16'
R6005         8.2660    0.9270  270.0  A1   (T)  'R402H16', 'R402H16'
R6006         8.3290    0.6490   90.0  A1   (T)  'R402H16', 'R402H16'
R6007         8.3440    0.7290    0.0  A1   (T)  'R402H16', 'R402H16'
R6008         8.2660    0.9570  270.0  A1   (T)  'R402H16', 'R402H16'
R6009         8.2610    0.7910   90.0  A1   (T)  'R402H16', 'R402H16'
R6010         8.3690    0.7780   90.0  A1   (T)  'R402H16', 'R402H16'
R6011         8.2610    0.8210   90.0  A1   (T)  'R402H16', 'R402H16'
R6012         8.2380    0.7050  180.0  A1   (T)  'R402H16', 'R402H16'
R6013         8.2660    0.8970  270.0  A1   (T)  'R402H16', 'R402H16'
R6014         8.3840    0.8270    0.0  A1   (T)  'R402H16', 'R402H16'
R6015         8.3350    0.8810    0.0  A1   (T)  'R402H16', 'R402H16'
R6016         7.9770    0.3400  270.0  A1   (T)  'R402H16', 'R402H16'
R6102         8.5250    2.1200    0.0  A1   (T)  'R402H16', 'R402H16'
R6105         8.2320    2.1480    0.0  A1   (T)  'R402H16', 'R402H16'
R6109         8.6410    1.8620  180.0  A1   (T)  'R402H16', 'R402H16'
R6110         8.7250    2.2610  270.0  A1   (T)  'R402H16', 'R402H16'
R6111         8.7250    2.2300  270.0  A1   (T)  'R402H16', 'R402H16'
R6113         8.4920    2.1290  180.0  A1   (T)  'R402H15', 'R402H15'
R6114         8.3220    2.1330  180.0  A1   (T)  'R402H15', 'R402H15'
R6118         8.7140    1.9610  180.0  A1   (T)  'R402H16', 'R402H16'
R6119         8.8690    2.3640    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R6120         8.8380    2.3640    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R6121         8.8080    2.3640    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R6122         8.7780    2.3640    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R6123         8.7470    2.3640    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R6124         8.7170    2.3640    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R6125         8.3750    2.3630    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R6126         8.3450    2.3630    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R6127         8.3150    2.3630    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R6128         8.2850    2.3630    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R6129         8.2550    2.3630    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R6130         8.2250    2.3630    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R6133         8.8300    1.9060   90.0  A1   (T)  'R402H16', 'R402H16'
R6134         6.2550    2.3840  180.0  A1   (T)  'R402H16', 'R402H16'
R6135         8.4700    1.8730  180.0  A1   (T)  'R402H16', 'R402H16'
R6136         1.6890    2.0740  180.0  A1   (T)  'R402H15', 'R402H15'
R6137         1.5520    2.2090   90.0  A1   (T)  'R402H16', 'R402H16'
R6138         9.1710    2.1540   90.0  A1   (T)  'R402H16', 'R402H16'
R6140         8.9470    1.8440  270.0  A1   (T)  'R603H22', 'R603H22'
R6142         8.3330    1.9760  180.0  A1   (T)  'R402H16', 'R402H16'
R6143         8.9470    1.8940  270.0  A1   (T)  'R603H22', 'R603H22'
R6301         9.1720    0.1670  180.0  A1   (T)  'R402H15', 'R402H15'
R6302         9.2420    0.6890  270.0  A1   (T)  'R805H24', 'R805H24'
R6303         9.1360    0.0960  180.0  A1   (T)  'R402H16', 'R402H16'
R6304         9.1860    0.1160   90.0  A1   (T)  'R402H16', 'R402H16'
R6308         9.1130    0.2230  180.0  A1   (T)  'R402H15', 'R402H15'
R6311         8.4590    0.6076    0.0  A1   (B)  'R402H15_B', 'R402H15_B'
R6312         8.4890    0.6076    0.0  A1   (B)  'R402H15_B', 'R402H15_B'
R6313         8.4070    0.6386    0.0  A1   (B)  'R402H15_B', 'R402H15_B'
R6314         8.3120    0.6386    0.0  A1   (B)  'R402H15_B', 'R402H15_B'
R6315         8.5190    0.5710  180.0  A1   (B)  'R402H15_B', 'R402H15_B'
R6316         8.4290    0.5700  180.0  A1   (B)  'R402H15_B', 'R402H15_B'
R6317         8.3757    0.6380    0.0  A1   (B)  'R402H15_B', 'R402H15_B'
R6318         8.3420    0.6386    0.0  A1   (B)  'R402H15_B', 'R402H15_B'
R6339         8.7800    0.1050  270.0  A1   (T)  'R402H16', 'R402H16'
R6401         1.3330    3.6760   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
R6402         1.3330    3.3400  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R6404         1.4410    3.7950   90.0  A1   (T)  'R402H16', 'R402H16'
R6405         1.3200    3.7060  270.0  A1   (T)  'R402H16', 'R402H16'
R6406         0.9830    3.6150    0.0  A1   (T)  'R402H16', 'R402H16'
R6407         0.9150    3.5200  270.0  A1   (T)  'R402H16', 'R402H16'
R6408         1.2440    3.4870    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R6419         1.8010    2.2360   90.0  A1   (T)  'R402H15', 'R402H15'
R6502         7.3630    0.3320  270.0  A1   (T)  'R402H16', 'R402H16'
R6503         4.5040    0.4360  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R6505         4.6310    0.4270   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
R6506         4.2460    0.4080  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R6507         4.5170    0.4540  180.0  A1   (T)  'R402H16', 'R402H16'
R6508         4.3610    0.5400  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
R6509         7.5730    0.2600    0.0  A1   (T)  'R402H16', 'R402H16'
R6511         7.5090    0.2100  180.0  A1   (T)  'R402H16', 'R402H16'
R6512         7.6660    0.5050  270.0  A1   (T)  'R402H16', 'R402H16'
R6513         7.6340    0.1760  180.0  A1   (T)  'R402H16', 'R402H16'
R6515         7.4260    0.2710   90.0  A1   (T)  'R402H16', 'R402H16'
R6516         7.3920    0.4860  270.0  A1   (T)  'R402H16', 'R402H16'
R6517         7.4290    0.1410   90.0  A1   (T)  'R603H22', 'R603H22'
R6518         7.4260    0.3010   90.0  A1   (T)  'R402H16', 'R402H16'
R6519         7.4850    0.3640  270.0  A1   (T)  'R402H16', 'R402H16'
R6521         7.3240    0.4310  180.0  A1   (T)  'R402H16', 'R402H16'
R6522         7.5630    0.1680    0.0  A1   (T)  'R603H22', 'R603H22'
R6601         9.0920    1.5700  270.0  A1   (T)  'R402H15', 'R402H15'
R6602         9.0920    1.5400  270.0  A1   (T)  'R402H15', 'R402H15'
R6801         1.8050    1.9800  180.0  A1   (T)  'R402H16', 'R402H16'
R6802         1.7750    1.9800  180.0  A1   (T)  'R402H16', 'R402H16'
R6803         1.7450    1.9800  180.0  A1   (T)  'R402H16', 'R402H16'
R7002         9.0970    2.2140   90.0  A1   (T)  'R402H16', 'R402H16'
R7003         9.0970    2.1790   90.0  A1   (T)  'R402H16', 'R402H16'
R7004         7.1200    2.1350  270.0  A1   (T)  '0R0603-PAD', '0R0603-PAD'
R7005         7.1240    1.8460  180.0  A1   (T)  'R402H16', 'R402H16'
R7006         7.0940    1.8460    0.0  A1   (T)  'R402H16', 'R402H16'
R7007         7.1600    1.8350  180.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R7008         9.0390    2.2080    0.0  A1   (T)  'R402H16', 'R402H16'
R7009         7.0090    1.9310   90.0  A1   (T)  'R402H16', 'R402H16'
R7010         7.0090    2.0010   90.0  A1   (T)  'R402H16', 'R402H16'
R7011         7.0090    1.9660   90.0  A1   (T)  'R402H16', 'R402H16'
R7012         7.0090    2.0360   90.0  A1   (T)  'R402H16', 'R402H16'
R7013         7.0090    1.8960   90.0  A1   (T)  'R402H16', 'R402H16'
R7014         7.2150    1.8510  270.0  A1   (T)  'R402H16', 'R402H16'
R7018         8.9590    2.2830  180.0  A1   (T)  'R402H16', 'R402H16'
R7218         3.6520    3.8140    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7219         3.6040    3.8160   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7220         3.6020    4.0310  180.0  A1   (T)  'R402H16', 'R402H16'
R7221         3.5540    3.7750    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7222         3.3180    3.8770  270.0  A1   (T)  'R402H16', 'R402H16'
R7223         3.3180    3.7980  270.0  A1   (T)  'R402H16', 'R402H16'
R7224         3.3250    3.9740  270.0  A1   (T)  'R402H16', 'R402H16'
R7225         3.4290    4.0100  270.0  A1   (T)  'R402H16', 'R402H16'
R7226         3.6330    4.0310  180.0  A1   (T)  'R402H16', 'R402H16'
R7229         3.2690    3.8370    0.0  A1   (T)  'R402H16', 'R402H16'
R7230         3.5080    3.5630    0.0  A1   (T)  'R402H15', 'R402H15'
R7231         3.4780    3.5630    0.0  A1   (T)  'R402H15', 'R402H15'
R7232         3.7750    3.7830  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7233         3.4040    3.7080    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7234         3.4480    3.5630  180.0  A1   (T)  'R402H15', 'R402H15'
R7235         3.4180    3.5630  180.0  A1   (T)  'R402H15', 'R402H15'
R7236         3.3870    3.5630  180.0  A1   (T)  'R402H16', 'R402H16'
R7237         3.7750    3.8130   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7238         3.5590    3.5630  180.0  A1   (T)  'R402H16', 'R402H16'
R7239         3.8390    3.5430   90.0  A1   (T)  'R402H16', 'R402H16'
R7240         3.7350    3.6200  180.0  A1   (T)  'R402H16', 'R402H16'
R7241         3.7350    3.5540  180.0  A1   (T)  'R402H16', 'R402H16'
R7242         3.5620    4.0890  180.0  A1   (T)  'R402H16', 'R402H16'
R7243         3.7880    3.6310   90.0  A1   (T)  'R402H16', 'R402H16'
R7244         3.4340    3.7080    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7245         3.4520    3.7600   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7246         3.7930    3.9240   90.0  A1   (T)  'R402H16', 'R402H16'
R7247         3.3180    3.7380   90.0  A1   (T)  'R402H15', 'R402H15'
R7248         3.3180    3.7680  270.0  A1   (T)  'R402H16', 'R402H16'
R7249         3.3180    3.8290  270.0  A1   (T)  'R402H16', 'R402H16'
R7301         1.7760    2.7590  270.0  A1   (T)  'R402H16', 'R402H16'
R7302         1.7780    2.6620  270.0  A1   (T)  'R402H16', 'R402H16'
R7303         1.2500    2.6500   90.0  A1   (B)  'R402H15_B', 'R402H15_B'
R7304         1.8324    2.5667   90.0  A1   (T)  'R402H16', 'R402H16'
R7305         1.8324    2.5977   90.0  A1   (T)  'R402H16', 'R402H16'
R7306         1.6520    2.7220    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7307         1.6210    2.7220    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7308         1.0330    3.4320   90.0  A1   (T)  'R402H16', 'R402H16'
R7309         1.8200    2.8050   90.0  A1   (T)  'R402H16', 'R402H16'
R7310         1.1390    3.2280  270.0  A1   (T)  'R402H16', 'R402H16'
R7311         1.1390    3.1980  270.0  A1   (T)  'R402H16', 'R402H16'
R7312         1.1390    3.2890  270.0  A1   (T)  'R402H16', 'R402H16'
R7313         1.1390    3.2590  270.0  A1   (T)  'R402H16', 'R402H16'
R7314         1.1570    3.0400  270.0  A1   (T)  'R402H16', 'R402H16'
R7315         1.1570    3.0700  270.0  A1   (T)  'R402H16', 'R402H16'
R7316         1.1570    3.1020  270.0  A1   (T)  'R402H16', 'R402H16'
R7317         1.1570    3.1320  270.0  A1   (T)  'R402H16', 'R402H16'
R7318         1.5490    2.8170  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7319         1.5710    2.7280  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7320         1.5190    2.8170  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7321         1.5170    2.7280  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7322         1.3410    2.5860  270.0  A1   (T)  'R402H16', 'R402H16'
R7323         1.4900    2.5700   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7324         1.5320    2.4240    0.0  A1   (T)  'R402H16', 'R402H16'
R7325         1.3410    2.6460   90.0  A1   (T)  'R402H16', 'R402H16'
R7326         1.8320    2.6300   90.0  A1   (T)  'R402H16', 'R402H16'
R7327         1.3410    2.6160   90.0  A1   (T)  'R402H16', 'R402H16'
R7336         1.2190    3.3020  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7337         1.2190    3.3320  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7338         1.0050    3.4110  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7339         1.0050    3.3810  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7340         1.3410    2.6760  270.0  A1   (T)  'R402H16', 'R402H16'
R7341         1.5390    2.5590    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7342         1.5570    2.6070   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7343         1.6450    2.6020    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7344         1.5910    2.5580    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7402         1.8670    3.0910   90.0  A1   (T)  'R402H16', 'R402H16'
R7403         1.9340    3.0910   90.0  A1   (T)  'R402H16', 'R402H16'
R7404         1.4910    3.2290   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7405         1.8220    3.0220  180.0  A1   (T)  'R402H16', 'R402H16'
R7406         1.8560    3.0220  180.0  A1   (T)  'R402H16', 'R402H16'
R7422         1.3740    3.1480  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7423         1.3670    3.0980   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7424         1.4330    3.2180    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7425         1.3220    3.2310   90.0  A1   (T)  'R402H16', 'R402H16'
R7426         1.4450    3.0450   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7427         1.6100    3.0000    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7601         7.6380    3.8780  315.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7602         7.3600    3.4400   45.0  A1   (T)  'R402H16', 'R402H16'
R7603         7.4040    3.5870  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7604         6.9450    3.1250  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7605         7.6160    3.8560  315.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7606         6.9450    3.0550  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7613         7.0250    3.0950   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7614         6.9540    2.9750   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7615         6.9540    2.9430  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7616         7.4500    3.6570  270.0  A1   (B)  'R603H22_B', 'R603H22_B'
R7618         7.3260    3.5110   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7801         8.3541    2.6210    0.0  A1   (T)  'R402H16', 'R402H16'
R7803         8.3231    2.6210    0.0  A1   (T)  'R402H16', 'R402H16'
R7805         8.3281    2.9360   45.0  A1   (T)  'R402H16', 'R402H16'
R7806         8.3041    3.1520    0.0  A1   (T)  'R402H16', 'R402H16'
R7807         8.2891    3.0850    0.0  A1   (T)  'R402H16', 'R402H16'
R7816         8.8551    3.1030    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7818         7.6650    2.5740  315.0  A1   (T)  'R402H16', 'R402H16'
R7820         8.7651    3.1030  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7821         8.8721    3.2920    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7824         8.8121    3.2920  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7901         8.2790    2.5290    0.0  A1   (T)  'R402H16', 'R402H16'
R7902         8.3151    2.5290    0.0  A1   (T)  'R402H16', 'R402H16'
R7903         7.8250    2.4290    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7904         7.7950    2.4290    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7905         7.4790    2.5240   45.0  A1   (T)  'R402H16', 'R402H16'
R7907         7.5940    2.6590  225.0  A1   (T)  'R402H16', 'R402H16'
R7908         7.5079    2.5682  225.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7909         7.5840    2.5670  315.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7910         8.5590    4.0120  270.0  A1   (T)  'R402H16', 'R402H16'
R7911         7.6060    2.5890  135.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7912         8.3690    2.6790  225.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7913         8.2220    2.6620  135.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7914         7.6090    2.5390   45.0  A1   (T)  'R402H16', 'R402H16'
R7915         7.5870    2.4920  315.0  A1   (T)  'R402H16', 'R402H16'
R7917         8.3451    2.5290  180.0  A1   (T)  'R402H16', 'R402H16'
R7918         8.2440    2.6830  315.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7919         7.5601    2.5440  315.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7920         8.2591    2.6250  225.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7921         8.3570    2.5770  135.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7924         8.3789    2.5990  135.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7925         7.5601    2.5440  225.0  A1   (T)  'R402H16', 'R402H16'
R7926         7.5079    2.5682  315.0  A1   (T)  'R402H16', 'R402H16'
R7927         7.6160    2.4310  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7928         7.6320    2.4470  135.0  A1   (T)  'R402H16', 'R402H16'
R7929         7.6100    2.4690  315.0  A1   (T)  'R402H16', 'R402H16'
R7931         6.8980    2.9790  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7932         8.2650    2.7050  135.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7933         6.2670    3.4320    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7934         7.0150    2.8240  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7935         8.3208    2.6320  225.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7938         7.5630    2.4980  135.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7939         7.4870    2.5180  315.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7940         7.6830    2.4310   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7943         6.8630    2.9790    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7944         8.4031    2.6910  270.0  A1   (T)  'R402H16', 'R402H16'
R7948         8.3961    2.5930    0.0  A1   (T)  'R402H16', 'R402H16'
R7949         8.3710    2.7520  270.0  A1   (T)  'R402H16', 'R402H16'
R7952         7.6600    2.2660  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7953         7.5840    2.3140    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7954         7.7270    3.5520  225.0  A1   (T)  'R603H22', 'R603H22'
R7957         7.6010    2.2410  270.0  A1   (B)  '0R0402-PAD_B', '0R0402-PAD_B'
R7958         7.6660    2.5120  225.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7959         7.6870    2.4890  225.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7960         7.6880    2.4960  225.0  A1   (T)  'R402H16', 'R402H16'
R7961         7.7340    2.5420  225.0  A1   (T)  'R402H16', 'R402H16'
R7962         7.7400    2.4780  315.0  A1   (T)  'R402H16', 'R402H16'
R7963         7.7370    2.4600  315.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7964         8.3710    2.7210   90.0  A1   (T)  'R402H16', 'R402H16'
R7965         7.8300    2.4420   45.0  A1   (T)  'R402H16', 'R402H16'
R7966         7.8080    2.4200   45.0  A1   (T)  'R402H16', 'R402H16'
R7967         7.7860    2.3980   45.0  A1   (T)  'R402H16', 'R402H16'
R7973         6.9550    2.9110  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7974         6.8250    2.9800  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7975         7.0250    3.1250  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7976         7.6330    2.5440   45.0  A1   (B)  'R402H16_B', 'R402H16_B'
R8101         8.7361    4.0560    0.0  A1   (T)  'R402H16', 'R402H16'
R8102         8.7671    4.0180  180.0  A1   (T)  'R402H16', 'R402H16'
R8103         8.6851    4.0980  270.0  A1   (T)  'R402H16', 'R402H16'
R8104         8.8800    3.8590  270.0  A1   (T)  'R402H16', 'R402H16'
R8105         8.8300    3.8820    0.0  A1   (T)  'R402H16', 'R402H16'
R8106         8.8250    3.8159    0.0  A1   (T)  'R402H16', 'R402H16'
