 17859-sa        Tebo-ICT,  license #WeiChuang(CD)

 Board Outline Contour             INCH units               21-March-2018 15:57

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

    5.581      -0.089       0.000
    5.583      -0.079       0.000
    5.584      -0.069       0.000
    5.588      -0.059       0.000
    5.594      -0.051       0.000
    5.602      -0.045       0.000
    5.612      -0.041       0.000
    5.622      -0.039       0.000
    8.141      -0.039       0.000
    8.151      -0.038       0.000
    8.160      -0.034       0.000
    8.169      -0.028       0.000
    8.175      -0.020       0.000
    8.179      -0.010       0.000
    8.180       0.000       0.000
    8.180       0.015       0.000
    8.186       0.064       0.000
    8.205       0.109       0.000
    8.235       0.148       0.000
    8.274       0.177       0.000
    8.319       0.196       0.000
    8.367       0.202       0.000
    8.416       0.196       0.000
    8.461       0.177       0.000
    8.499       0.148       0.000
    8.529       0.109       0.000
    8.548       0.064       0.000
    8.554       0.015       0.000
    8.554      -0.008       0.000
    8.555      -0.016       0.000
    8.558      -0.024       0.000
    8.563      -0.030       0.000
    8.570      -0.035       0.000
    8.577      -0.038       0.000
    8.586      -0.039       0.000
    8.675      -0.039       0.000
    8.685      -0.041       0.000
    8.695      -0.045       0.000
    8.703      -0.051       0.000
    8.709      -0.059       0.000
    8.713      -0.069       0.000
    8.715      -0.079       0.000
    8.716      -0.089       0.000
    8.720      -0.098       0.000
    8.726      -0.107       0.000
    8.734      -0.113       0.000
    8.744      -0.117       0.000
    8.754      -0.118       0.000
    9.354      -0.118       0.000
    9.365      -0.117       0.000
    9.374      -0.113       0.000
    9.382      -0.107       0.000
    9.388      -0.098       0.000
    9.392      -0.089       0.000
    9.394      -0.079       0.000
    9.394       4.173       0.000
    9.392       4.183       0.000
    9.388       4.193       0.000
    9.382       4.201       0.000
    9.374       4.207       0.000
    9.365       4.211       0.000
    9.354       4.213       0.000
    9.248       4.213       0.000
    9.243       4.212       0.000
    9.238       4.210       0.000
    9.234       4.207       0.000
    9.231       4.203       0.000
    9.229       4.198       0.000
    9.228       4.193       0.000
    9.228       4.193       0.000
    9.228       4.140       0.000
    9.228       4.135       0.000
    9.226       4.130       0.000
    9.223       4.126       0.000
    9.219       4.123       0.000
    9.214       4.121       0.000
    9.209       4.120       0.000
    9.012       4.120       0.000
    9.007       4.121       0.000
    9.002       4.123       0.000
    8.998       4.126       0.000
    8.995       4.130       0.000
    8.993       4.135       0.000
    8.992       4.140       0.000
    8.992       4.193       0.000
    8.991       4.198       0.000
    8.989       4.203       0.000
    8.986       4.207       0.000
    8.982       4.210       0.000
    8.978       4.212       0.000
    8.972       4.213       0.000
    8.455       4.213       0.000
    8.450       4.212       0.000
    8.445       4.210       0.000
    8.441       4.207       0.000
    8.438       4.203       0.000
    8.436       4.198       0.000
    8.435       4.193       0.000
    8.435       4.150       0.000
    8.434       4.145       0.000
    8.432       4.140       0.000
    8.429       4.136       0.000
    8.425       4.133       0.000
    8.420       4.131       0.000
    8.415       4.130       0.000
    8.309       4.130       0.000
    8.304       4.131       0.000
    8.299       4.133       0.000
    8.295       4.136       0.000
    8.292       4.140       0.000
    8.290       4.145       0.000
    8.289       4.150       0.000
    8.289       4.193       0.000
    8.289       4.198       0.000
    8.287       4.203       0.000
    8.284       4.207       0.000
    8.280       4.210       0.000
    8.275       4.212       0.000
    8.270       4.213       0.000
    7.510       4.213       0.000
    7.505       4.212       0.000
    7.500       4.210       0.000
    7.496       4.207       0.000
    7.493       4.203       0.000
